Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Leadership/position of power/supervisory duties,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a045ebb08ebf5e4000fff7b,664b8bef90cdb799d4c4c35d,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:37.582000Z,2026-05-13T11:28:30.859000Z,,2026-05-13T11:28:31.248382Z,414.0,C3L4TUH2,5594,English,Yes,31,Male,White,United States,United States,United States,English,No,Full-Time
6a045ebcaf689f9745809e08,69f349141b7a57cdd52b671c,AWAITING REVIEW,Not Applicable,2026-05-13T11:23:08.253000Z,2026-05-13T11:38:31.849000Z,,2026-05-13T11:38:32.239774Z,924.0,C3L4TUH2,27,English,Yes,27,Female,White,Poland,Poland,Poland,English,No,Full-Time
6a045ebcc1ce2cfa886862e8,5d1b3627b6a81c0001f87c85,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:42.965000Z,2026-05-13T11:27:54.623000Z,,2026-05-13T11:27:55.022839Z,372.0,C3L4TUH2,676,English,Yes,32,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
6a045ebdc551095d3d8259a2,69e5047b25806886f27a0077,AWAITING REVIEW,Not Applicable,2026-05-13T11:26:17.474000Z,2026-05-13T11:46:04.594000Z,,2026-05-13T11:46:04.992405Z,1188.0,C3L4TUH2,56,"English, Afrikaans",Yes,61,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6a045ebfab0ca1c816013e32,55ecd6ff748092000daa9f5f,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:38.574000Z,2026-05-13T11:27:39.924000Z,,2026-05-13T11:27:40.361407Z,362.0,C3L4TUH2,17184,English,Yes,38,Male,White,United States,United States,United States,English,No,Full-Time
6a045ec00237f9c20fd3e3d5,69d95796f2b81985559b4b59,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:50.559000Z,2026-05-13T11:39:57.453000Z,,2026-05-13T11:40:39.165627Z,1087.0,C3L4TUH2,144,English,Yes,34,Male,Black,United States,South Africa,United States,English,Yes,Full-Time
6a045ec1fed2cc54cf117f4e,5c3a4e759e794d000129a225,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:39.715000Z,2026-05-13T11:26:57.619000Z,,2026-05-13T11:26:58.027265Z,318.0,C3L4TUH2,3088,English,Yes,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6a045ec26bd48bd04c615126,6a03322d84fdeca625f08127,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:40.909000Z,2026-05-13T11:26:40.973000Z,,2026-05-13T11:26:41.360558Z,301.0,C3L4TUH2,6,"English, Italian",Yes,28,Male,Mixed,Italy,United Kingdom,Italy,English,Yes,Full-Time
6a045ec56f22faac17032ade,69e4620e3a2714f4fba8d94b,AWAITING REVIEW,Not Applicable,2026-05-13T11:21:45.234000Z,2026-05-13T11:34:53.081000Z,,2026-05-13T11:34:53.472854Z,788.0,C3L4TUH2,145,English,Yes,25,Female,Mixed,United States,South Africa,South Africa,English,No,Full-Time
6a045ec6d96d3ec3bfd5f96d,60662064c4e2b814215e6890,AWAITING REVIEW,Not Applicable,2026-05-13T11:22:16.408000Z,2026-05-13T11:39:13.785000Z,,2026-05-13T11:39:14.186913Z,1018.0,C3L4TUH2,1626,English,Yes,48,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
